Filename,dra,ddec,dra (arcsec),ddec (arcsec),dra_std,ddec_std,Visit,visitnumber,obsid,Exposure,Filter,Module,ab,nmatch,RAOFF_hdr,DECOFF_hdr
/orange/adamginsburg/jwst/brick/F444W/f444w_nrca_visit002_exp00001_daophot_basic.fits,1.9468259316318608,1.0451912820684797,1.9468259316318608,1.0451912820684797,0.01246554899101689,0.01245076815438535,jw01182004002,002,004,1,F444W,nrcalong,a,7312,1.9494744949589176,0.9986728563362348
/orange/adamginsburg/jwst/brick/F444W/f444w_nrca_visit002_exp00002_daophot_basic.fits,1.943459667845741,1.0452219266945164,1.943459667845741,1.0452219266945164,0.012435364904462086,0.012637048844988103,jw01182004002,002,004,2,F444W,nrcalong,a,7332,1.9494744949589176,0.9986728563362348
/orange/adamginsburg/jwst/brick/F444W/f444w_nrca_visit002_exp00003_daophot_basic.fits,1.942638046521165,1.0433835162402474,1.942638046521165,1.0433835162402474,0.012373678483361959,0.012611426802870794,jw01182004002,002,004,3,F444W,nrcalong,a,6234,1.9494744949589176,0.9986728563362348
/orange/adamginsburg/jwst/brick/F444W/f444w_nrca_visit002_exp00004_daophot_basic.fits,1.9424500909372682,1.045839767621736,1.9424500909372682,1.045839767621736,0.012611158962639694,0.012949440472919628,jw01182004002,002,004,4,F444W,nrcalong,a,6228,1.9494744949589176,0.9986728563362348
/orange/adamginsburg/jwst/brick/F444W/f444w_nrca_visit002_exp00005_daophot_basic.fits,1.9335277409232503,1.0438723605460822,1.9335277409232503,1.0438723605460822,0.009585529372453125,0.008252001461772395,jw01182004002,002,004,5,F444W,nrcalong,a,6157,1.9494744949589176,0.9986728563362348
/orange/adamginsburg/jwst/brick/F444W/f444w_nrca_visit002_exp00006_daophot_basic.fits,1.939365631913074,1.0449024287112465,1.939365631913074,1.0449024287112465,0.009711286438320461,0.008332682400981863,jw01182004002,002,004,6,F444W,nrcalong,a,6148,1.9494744949589176,0.9986728563362348
/orange/adamginsburg/jwst/brick/F444W/f444w_nrca_visit002_exp00007_daophot_basic.fits,1.9377534371961473,1.0440438321382075,1.9377534371961473,1.0440438321382075,0.008516593174852354,0.007094054038683583,jw01182004002,002,004,7,F444W,nrcalong,a,5959,1.9494744949589176,0.9986728563362348
/orange/adamginsburg/jwst/brick/F444W/f444w_nrca_visit002_exp00008_daophot_basic.fits,1.9387025305696397,1.0438807746794723,1.9387025305696397,1.0438807746794723,0.008243368454405724,0.007086687360967413,jw01182004002,002,004,8,F444W,nrcalong,a,5960,1.9494744949589176,0.9986728563362348
/orange/adamginsburg/jwst/brick/F444W/f444w_nrca_visit002_exp00009_daophot_basic.fits,1.9336302961483625,1.0474660313150466,1.9336302961483625,1.0474660313150466,0.008334002478818915,0.0070909976924740945,jw01182004002,002,004,9,F444W,nrcalong,a,6961,1.9494744949589176,0.9986728563362348
/orange/adamginsburg/jwst/brick/F444W/f444w_nrca_visit002_exp00010_daophot_basic.fits,1.9376108748566139,1.0466871471450858,1.9376108748566139,1.0466871471450858,0.008414153018522245,0.007123314422500152,jw01182004002,002,004,10,F444W,nrcalong,a,6951,1.9494744949589176,0.9986728563362348
/orange/adamginsburg/jwst/brick/F444W/f444w_nrca_visit002_exp00011_daophot_basic.fits,1.9324702939548615,1.05405310127653,1.9324702939548615,1.05405310127653,0.009552287678706506,0.008269551718988155,jw01182004002,002,004,11,F444W,nrcalong,a,7146,1.9494744949589176,0.9986728563362348
/orange/adamginsburg/jwst/brick/F444W/f444w_nrca_visit002_exp00012_daophot_basic.fits,1.9367398829763942,1.0549010007807382,1.9367398829763942,1.0549010007807382,0.009388275784300532,0.008207988665572529,jw01182004002,002,004,12,F444W,nrcalong,a,7179,1.9494744949589176,0.9986728563362348
/orange/adamginsburg/jwst/brick/F444W/f444w_nrcb_visit002_exp00001_daophot_basic.fits,1.9594807548521203,1.0736969043460434,1.9594807548521203,1.0736969043460434,0.008640644709976606,0.007847820597919072,jw01182004002,002,004,1,F444W,nrcblong,b,5287,1.9542239003164468,1.0004002641519563
/orange/adamginsburg/jwst/brick/F444W/f444w_nrcb_visit002_exp00002_daophot_basic.fits,1.9559105856166752,1.074016686844125,1.9559105856166752,1.074016686844125,0.008586326976579519,0.007949599515975283,jw01182004002,002,004,2,F444W,nrcblong,b,5268,1.9542239003164468,1.0004002641519563
/orange/adamginsburg/jwst/brick/F444W/f444w_nrcb_visit002_exp00003_daophot_basic.fits,1.9553957165732754,1.0722421862848321,1.9553957165732754,1.0722421862848321,0.008747937202149373,0.00789970678762807,jw01182004002,002,004,3,F444W,nrcblong,b,4777,1.9542239003164468,1.0004002641519563
/orange/adamginsburg/jwst/brick/F444W/f444w_nrcb_visit002_exp00004_daophot_basic.fits,1.9553507051802625,1.0747906792726738,1.9553507051802625,1.0747906792726738,0.008906478746637502,0.007876274521910602,jw01182004002,002,004,4,F444W,nrcblong,b,4748,1.9542239003164468,1.0004002641519563
/orange/adamginsburg/jwst/brick/F444W/f444w_nrcb_visit002_exp00005_daophot_basic.fits,1.9476214548269126,1.0753845491795246,1.9476214548269126,1.0753845491795246,0.008399119833728194,0.007506230307937506,jw01182004002,002,004,5,F444W,nrcblong,b,6173,1.9542239003164468,1.0004002641519563
/orange/adamginsburg/jwst/brick/F444W/f444w_nrcb_visit002_exp00006_daophot_basic.fits,1.9533212535527127,1.0767594877617128,1.9533212535527127,1.0767594877617128,0.008471184461735486,0.007518513546265378,jw01182004002,002,004,6,F444W,nrcblong,b,6250,1.9542239003164468,1.0004002641519563
/orange/adamginsburg/jwst/brick/F444W/f444w_nrcb_visit002_exp00007_daophot_basic.fits,1.9509752158462106,1.0767773743818978,1.9509752158462106,1.0767773743818978,0.008099882394188584,0.007114119415220608,jw01182004002,002,004,7,F444W,nrcblong,b,6778,1.9542239003164468,1.0004002641519563
