dra,ddec,dra (arcsec),ddec (arcsec),dra_std,ddec_std,Filter,Module,dra_rms,ddec_rms,dra_med,ddec_med
-0.12230352237736497,0.09563360983122493,-0.12230352237736497,0.09563360983122493,0.05206141212817409,0.046475794894975574,F182M,nrca1,0.0052672205673766235,0.002356304878311197,-0.12429579526269663,0.0953331142540037
-0.1294908386043403,0.10000549115565249,-0.1294908386043403,0.10000549115565249,0.09401475140510536,0.08192988697075597,F182M,nrca2,0.004617549637046463,0.002796906881370971,-0.13108942217172626,0.09996810473182904
-0.12061639166915938,0.09038990471497144,-0.12061639166915938,0.09038990471497144,0.08348025316535192,0.07233608180012933,F182M,nrca3,0.004434992772447051,0.0014235992473018973,-0.12158948070464248,0.09028087395428486
-0.1309332456685297,0.09297775586833978,-0.1309332456685297,0.09297775586833978,0.08952750164447765,0.07889737531906181,F182M,nrca4,0.00391662281395428,0.001624662177921312,-0.13169936764825252,0.09287032418612284
-0.11880466393279221,0.10195079685990649,-0.11880466393279221,0.10195079685990649,0.04789734396526071,0.042147491108498907,F182M,nrcb1,0.004528979079591933,0.0015817942979317451,-0.12014297719247224,0.10213337077509266
-0.11032324022011153,0.1028674500791027,-0.11032324022011153,0.1028674500791027,0.06648299192403058,0.05910389868766652,F182M,nrcb2,0.00459861047997176,0.002603874901349819,-0.11103260145546301,0.1025229030503283
-0.11914936889922956,0.10594188446777508,-0.11914936889922956,0.10594188446777508,0.04985340404764482,0.0450483746285591,F182M,nrcb3,0.0060171887616389495,0.0026456703155142984,-0.12061947457482347,0.10544447463978202
-0.11332987990186894,0.10852917726937861,-0.11332987990186894,0.10852917726937861,0.04901578722023803,0.04329490210853271,F182M,nrcb4,0.005251131708697788,0.0026567364743318627,-0.11390427028459271,0.10852578162854343
-0.12375955025473476,0.09811376210910278,-0.12375955025473476,0.09811376210910278,0.07469306501666127,0.06676498508375917,F187N,nrca1,0.004158479950063621,0.0022361901099987288,-0.12586741648306088,0.09770114912299732
-0.13179483173928475,0.10062445106031603,-0.13179483173928475,0.10062445106031603,0.1371371664606218,0.12003027040781533,F187N,nrca2,0.004650158499610695,0.0019066314793355508,-0.13335765275428457,0.10015153601798943
-0.12370775292254166,0.0892040120922033,-0.12370775292254166,0.0892040120922033,0.10357988673656511,0.08908271300725902,F187N,nrca3,0.005349329645982911,0.0017676029356903324,-0.12496550513105831,0.08875461537236617
-0.13415869266282243,0.09246429303315651,-0.13415869266282243,0.09246429303315651,0.09800271875929827,0.08727569209566605,F187N,nrca4,0.004658744856664773,0.0016954107860483424,-0.13523219878948112,0.09186281869908441
-0.121671821865732,0.10187718444187865,-0.121671821865732,0.10187718444187865,0.05426570465948972,0.048471321114923666,F187N,nrcb1,0.00482147808732,0.0021125608622794743,-0.12284231068520057,0.10150866732132613
-0.11199652830100604,0.10304479708818093,-0.11199652830100604,0.10304479708818093,0.05932676518648075,0.0522124384648965,F187N,nrcb2,0.006436632795031338,0.002136620801563016,-0.11307651739116409,0.10277987700604285
-0.12182619933014394,0.10776789162871836,-0.12182619933014394,0.10776789162871836,0.05820442755666572,0.050360419948078355,F187N,nrcb3,0.005495572070941539,0.0021953997359891782,-0.1231698095068623,0.10775275059735634
-0.11376784055414646,0.11003922216410444,-0.11376784055414646,0.11003922216410444,0.04757326523708736,0.04168370552246159,F187N,nrcb4,0.005491256081494718,0.0023257038296471597,-0.11519025697452889,0.10919368135127172
-0.1245744000243576,0.09775573547683436,-0.1245744000243576,0.09775573547683436,0.04803505438510189,0.044763449530026984,F212N,nrca1,0.004121914124755419,0.0019737668170563437,-0.12593623971497436,0.0974154555837714
-0.13164622349250976,0.1013026257585814,-0.13164622349250976,0.1013026257585814,0.08088676726886047,0.07121799921375062,F212N,nrca2,0.004454788325719567,0.002385806347755105,-0.13292633502715034,0.10057528147910944
-0.12454175138429946,0.08935615323935053,-0.12454175138429946,0.08935615323935053,0.06508619791955222,0.05874133893237352,F212N,nrca3,0.00579871625637322,0.0017159413860020922,-0.12560139910533508,0.08905048055751763
-0.1340566617372474,0.09285524391682287,-0.1340566617372474,0.09285524391682287,0.06466892061334478,0.05559079682792407,F212N,nrca4,0.004439799004418709,0.0015597201423743483,-0.13580868413214375,0.09245047156305475
-0.12230559606791758,0.10125455913643222,-0.12230559606791758,0.10125455913643222,0.039384712739993194,0.03557107257665774,F212N,nrcb1,0.0044158120097015,0.002094804139884839,-0.12296865201619767,0.10045335846982084
-0.11183668170104966,0.10180927505603066,-0.11183668170104966,0.10180927505603066,0.0428375266088262,0.03895894361812037,F212N,nrcb2,0.005897560796862203,0.0021760611097194405,-0.11269881478597199,0.10136418498483124
-0.12286010400401892,0.10936761221351787,-0.12286010400401892,0.10936761221351787,0.04165609972009247,0.037163883902136347,F212N,nrcb3,0.005163659656939494,0.0019230661801771542,-0.12411016721216583,0.10907553915764368
-0.11350935332785639,0.10982777111303577,-0.11350935332785639,0.10982777111303577,0.03899195590828922,0.03580383852310163,F212N,nrcb4,0.0051305263537249415,0.0022965975725029904,-0.11419976767115259,0.10922190660380693
-0.11950793040398366,0.0978010313777311,-0.11950793040398366,0.0978010313777311,0.03604923995135608,0.031245930195338556,F405N,nrcalong,0.004887492674382493,0.0017310280704673393,-0.12109564106026482,0.09758539234923091
-0.13006648518540942,0.10268538976374586,-0.13006648518540942,0.10268538976374586,0.0348339804706611,0.030168174456242022,F405N,nrcblong,0.005681331653712144,0.0019230099338940986,-0.131071485850498,0.10231687818276214
-0.1423138426901005,0.0709974301988936,-0.1423138426901005,0.0709974301988936,0.04659246128128381,0.04094373426197508,F410M,nrcalong,0.0040705754402988225,0.00191306166735665,-0.14347910799301644,0.07060136972327768
