Filename,Test,Filename_1,Visit,Group,Exposure,Module,IGNORE,dra (arcsec),ddec (arcsec),Filter,Notes
/orange/adamginsburg/jwst/brick/F405N/pipeline/jw02221001001_03101_00001_nrcalong_destreak.fits,jw02221001001_03101_00001_nrcalong_destreak.fits,jw02221001001_03101_00001_nrcalong_destreak.fits,jw02221001001,3101,1,nrcalong,destreak.fits,0.09,-0.10,F405N,none
/orange/adamginsburg/jwst/brick/F405N/pipeline/jw02221001001_03101_00002_nrcalong_destreak.fits,jw02221001001_03101_00002_nrcalong_destreak.fits,jw02221001001_03101_00002_nrcalong_destreak.fits,jw02221001001,3101,2,nrcalong,destreak.fits,0.09,-0.10,F405N,none
/orange/adamginsburg/jwst/brick/F405N/pipeline/jw02221001001_03101_00003_nrcalong_destreak.fits,jw02221001001_03101_00003_nrcalong_destreak.fits,jw02221001001_03101_00003_nrcalong_destreak.fits,jw02221001001,3101,3,nrcalong,destreak.fits,0.09,-0.10,F405N,none
/orange/adamginsburg/jwst/brick/F405N/pipeline/jw02221001001_03101_00004_nrcalong_destreak.fits,jw02221001001_03101_00004_nrcalong_destreak.fits,jw02221001001_03101_00004_nrcalong_destreak.fits,jw02221001001,3101,4,nrcalong,destreak.fits,0.09,-0.10,F405N,none
/orange/adamginsburg/jwst/brick/F405N/pipeline/jw02221001001_03101_00005_nrcalong_destreak.fits,jw02221001001_03101_00005_nrcalong_destreak.fits,jw02221001001_03101_00005_nrcalong_destreak.fits,jw02221001001,3101,5,nrcalong,destreak.fits,0.09,-0.10,F405N,none
/orange/adamginsburg/jwst/brick/F405N/pipeline/jw02221001001_03101_00006_nrcalong_destreak.fits,jw02221001001_03101_00006_nrcalong_destreak.fits,jw02221001001_03101_00006_nrcalong_destreak.fits,jw02221001001,3101,6,nrcalong,destreak.fits,0.09,-0.10,F405N,none
/orange/adamginsburg/jwst/brick/F405N/pipeline/jw02221001001_03101_00007_nrcalong_destreak.fits,jw02221001001_03101_00007_nrcalong_destreak.fits,jw02221001001_03101_00007_nrcalong_destreak.fits,jw02221001001,3101,7,nrcalong,destreak.fits,0.09,-0.10,F405N,none
/orange/adamginsburg/jwst/brick/F405N/pipeline/jw02221001001_03101_00008_nrcalong_destreak.fits,jw02221001001_03101_00008_nrcalong_destreak.fits,jw02221001001_03101_00008_nrcalong_destreak.fits,jw02221001001,3101,8,nrcalong,destreak.fits,0.09,-0.10,F405N,none
/orange/adamginsburg/jwst/brick/F405N/pipeline/jw02221001001_03101_00009_nrcalong_destreak.fits,jw02221001001_03101_00009_nrcalong_destreak.fits,jw02221001001_03101_00009_nrcalong_destreak.fits,jw02221001001,3101,9,nrcalong,destreak.fits,0.09,-0.10,F405N,none
/orange/adamginsburg/jwst/brick/F405N/pipeline/jw02221001001_03101_00010_nrcalong_destreak.fits,jw02221001001_03101_00010_nrcalong_destreak.fits,jw02221001001_03101_00010_nrcalong_destreak.fits,jw02221001001,3101,10,nrcalong,destreak.fits,0.09,-0.10,F405N,none
/orange/adamginsburg/jwst/brick/F405N/pipeline/jw02221001001_03101_00011_nrcalong_destreak.fits,jw02221001001_03101_00011_nrcalong_destreak.fits,jw02221001001_03101_00011_nrcalong_destreak.fits,jw02221001001,3101,11,nrcalong,destreak.fits,0.09,-0.10,F405N,none
/orange/adamginsburg/jwst/brick/F405N/pipeline/jw02221001001_03101_00012_nrcalong_destreak.fits,jw02221001001_03101_00012_nrcalong_destreak.fits,jw02221001001_03101_00012_nrcalong_destreak.fits,jw02221001001,3101,12,nrcalong,destreak.fits,0.09,-0.10,F405N,none
/orange/adamginsburg/jwst/brick/F405N/pipeline/jw02221001001_03101_00013_nrcalong_destreak.fits,jw02221001001_03101_00013_nrcalong_destreak.fits,jw02221001001_03101_00013_nrcalong_destreak.fits,jw02221001001,3101,13,nrcalong,destreak.fits,0.09,-0.10,F405N,none
/orange/adamginsburg/jwst/brick/F405N/pipeline/jw02221001001_03101_00014_nrcalong_destreak.fits,jw02221001001_03101_00014_nrcalong_destreak.fits,jw02221001001_03101_00014_nrcalong_destreak.fits,jw02221001001,3101,14,nrcalong,destreak.fits,0.09,-0.10,F405N,none
/orange/adamginsburg/jwst/brick/F405N/pipeline/jw02221001001_03101_00015_nrcalong_destreak.fits,jw02221001001_03101_00015_nrcalong_destreak.fits,jw02221001001_03101_00015_nrcalong_destreak.fits,jw02221001001,3101,15,nrcalong,destreak.fits,0.09,-0.10,F405N,none
/orange/adamginsburg/jwst/brick/F405N/pipeline/jw02221001001_03101_00016_nrcalong_destreak.fits,jw02221001001_03101_00016_nrcalong_destreak.fits,jw02221001001_03101_00016_nrcalong_destreak.fits,jw02221001001,3101,16,nrcalong,destreak.fits,0.09,-0.10,F405N,none
/orange/adamginsburg/jwst/brick/F405N/pipeline/jw02221001001_03101_00017_nrcalong_destreak.fits,jw02221001001_03101_00017_nrcalong_destreak.fits,jw02221001001_03101_00017_nrcalong_destreak.fits,jw02221001001,3101,17,nrcalong,destreak.fits,0.09,-0.10,F405N,none
/orange/adamginsburg/jwst/brick/F405N/pipeline/jw02221001001_03101_00018_nrcalong_destreak.fits,jw02221001001_03101_00018_nrcalong_destreak.fits,jw02221001001_03101_00018_nrcalong_destreak.fits,jw02221001001,3101,18,nrcalong,destreak.fits,0.09,-0.10,F405N,none
/orange/adamginsburg/jwst/brick/F405N/pipeline/jw02221001001_03101_00019_nrcalong_destreak.fits,jw02221001001_03101_00019_nrcalong_destreak.fits,jw02221001001_03101_00019_nrcalong_destreak.fits,jw02221001001,3101,19,nrcalong,destreak.fits,0.09,-0.10,F405N,none
/orange/adamginsburg/jwst/brick/F405N/pipeline/jw02221001001_03101_00020_nrcalong_destreak.fits,jw02221001001_03101_00020_nrcalong_destreak.fits,jw02221001001_03101_00020_nrcalong_destreak.fits,jw02221001001,3101,20,nrcalong,destreak.fits,0.09,-0.10,F405N,none
/orange/adamginsburg/jwst/brick/F405N/pipeline/jw02221001001_03101_00021_nrcalong_destreak.fits,jw02221001001_03101_00021_nrcalong_destreak.fits,jw02221001001_03101_00021_nrcalong_destreak.fits,jw02221001001,3101,21,nrcalong,destreak.fits,0.09,-0.10,F405N,none
/orange/adamginsburg/jwst/brick/F405N/pipeline/jw02221001001_03101_00022_nrcalong_destreak.fits,jw02221001001_03101_00022_nrcalong_destreak.fits,jw02221001001_03101_00022_nrcalong_destreak.fits,jw02221001001,3101,22,nrcalong,destreak.fits,0.09,-0.10,F405N,none
/orange/adamginsburg/jwst/brick/F405N/pipeline/jw02221001001_03101_00023_nrcalong_destreak.fits,jw02221001001_03101_00023_nrcalong_destreak.fits,jw02221001001_03101_00023_nrcalong_destreak.fits,jw02221001001,3101,23,nrcalong,destreak.fits,0.09,-0.10,F405N,none
/orange/adamginsburg/jwst/brick/F405N/pipeline/jw02221001001_03101_00024_nrcalong_destreak.fits,jw02221001001_03101_00024_nrcalong_destreak.fits,jw02221001001_03101_00024_nrcalong_destreak.fits,jw02221001001,3101,24,nrcalong,destreak.fits,0.09,-0.10,F405N,none
/orange/adamginsburg/jwst/brick/F466N/pipeline/jw02221001001_05101_00001_nrcalong_destreak.fits,jw02221001001_05101_00001_nrcalong_destreak.fits,jw02221001001_05101_00001_nrcalong_destreak.fits,jw02221001001,5101,1,nrcalong,destreak.fits,0.10,-0.10,F466N,none
/orange/adamginsburg/jwst/brick/F466N/pipeline/jw02221001001_05101_00002_nrcalong_destreak.fits,jw02221001001_05101_00002_nrcalong_destreak.fits,jw02221001001_05101_00002_nrcalong_destreak.fits,jw02221001001,5101,2,nrcalong,destreak.fits,0.10,-0.10,F466N,none
/orange/adamginsburg/jwst/brick/F466N/pipeline/jw02221001001_05101_00003_nrcalong_destreak.fits,jw02221001001_05101_00003_nrcalong_destreak.fits,jw02221001001_05101_00003_nrcalong_destreak.fits,jw02221001001,5101,3,nrcalong,destreak.fits,0.10,-0.10,F466N,none
/orange/adamginsburg/jwst/brick/F466N/pipeline/jw02221001001_05101_00004_nrcalong_destreak.fits,jw02221001001_05101_00004_nrcalong_destreak.fits,jw02221001001_05101_00004_nrcalong_destreak.fits,jw02221001001,5101,4,nrcalong,destreak.fits,0.10,-0.10,F466N,none
/orange/adamginsburg/jwst/brick/F466N/pipeline/jw02221001001_05101_00005_nrcalong_destreak.fits,jw02221001001_05101_00005_nrcalong_destreak.fits,jw02221001001_05101_00005_nrcalong_destreak.fits,jw02221001001,5101,5,nrcalong,destreak.fits,0.10,-0.10,F466N,none
