Filename,dra,ddec,dra (arcsec),ddec (arcsec),dra_std,ddec_std,Visit,visitnumber,obsid,Exposure,Filter,Module,ab,nmatch,RAOFF_hdr,DECOFF_hdr
/orange/adamginsburg/jwst/brick/F444W/f444w_nrca_visit002_exp00001_daophot_basic.fits,1.9612310591674713,1.058802763220278,1.9612310591674713,1.058802763220278,0.062635117911279,0.06319900819783875,jw01182004002,002,004,1,F444W,nrcalong,a,567,1.9494744949589176,0.9986728563362348
/orange/adamginsburg/jwst/brick/F444W/f444w_nrca_visit002_exp00002_daophot_basic.fits,1.9563521370947228,1.0572962765025053,1.9563521370947228,1.0572962765025053,0.06257498881283373,0.06166372728651719,jw01182004002,002,004,2,F444W,nrcalong,a,550,1.9494744949589176,0.9986728563362348
/orange/adamginsburg/jwst/brick/F444W/f444w_nrca_visit002_exp00003_daophot_basic.fits,1.9562458567725798,1.0542290861863748,1.9562458567725798,1.0542290861863748,0.062806735899384,0.07009377548976733,jw01182004002,002,004,3,F444W,nrcalong,a,563,1.9494744949589176,0.9986728563362348
/orange/adamginsburg/jwst/brick/F444W/f444w_nrca_visit002_exp00004_daophot_basic.fits,1.9603052148318738,1.0596085532405866,1.9603052148318738,1.0596085532405866,0.06109430445421956,0.06718139814503028,jw01182004002,002,004,4,F444W,nrcalong,a,542,1.9494744949589176,0.9986728563362348
/orange/adamginsburg/jwst/brick/F444W/f444w_nrca_visit002_exp00005_daophot_basic.fits,1.9508469004313838,1.04988167886264,1.9508469004313838,1.04988167886264,0.06539966583224391,0.07331222789856598,jw01182004002,002,004,5,F444W,nrcalong,a,565,1.9494744949589176,0.9986728563362348
/orange/adamginsburg/jwst/brick/F444W/f444w_nrca_visit002_exp00006_daophot_basic.fits,1.9521176136300482,1.053283018897865,1.9521176136300482,1.053283018897865,0.06469303439418479,0.07359260513831675,jw01182004002,002,004,6,F444W,nrcalong,a,568,1.9494744949589176,0.9986728563362348
/orange/adamginsburg/jwst/brick/F444W/f444w_nrca_visit002_exp00007_daophot_basic.fits,1.9462978827824144,1.035255244347887,1.9462978827824144,1.035255244347887,0.06544203954104014,0.06780514201961847,jw01182004002,002,004,7,F444W,nrcalong,a,562,1.9494744949589176,0.9986728563362348
/orange/adamginsburg/jwst/brick/F444W/f444w_nrca_visit002_exp00008_daophot_basic.fits,1.945775197962189,1.033502479278802,1.945775197962189,1.033502479278802,0.0647655996226948,0.0667451307799768,jw01182004002,002,004,8,F444W,nrcalong,a,571,1.9494744949589176,0.9986728563362348
/orange/adamginsburg/jwst/brick/F444W/f444w_nrca_visit002_exp00009_daophot_basic.fits,1.9373042281677726,1.039208754801301,1.9373042281677726,1.039208754801301,0.06480570090860291,0.06526135815239004,jw01182004002,002,004,9,F444W,nrcalong,a,545,1.9494744949589176,0.9986728563362348
/orange/adamginsburg/jwst/brick/F444W/f444w_nrca_visit002_exp00010_daophot_basic.fits,1.9428597954379938,1.0378612499224218,1.9428597954379938,1.0378612499224218,0.0656044385916446,0.06719969439180581,jw01182004002,002,004,10,F444W,nrcalong,a,541,1.9494744949589176,0.9986728563362348
/orange/adamginsburg/jwst/brick/F444W/f444w_nrca_visit002_exp00011_daophot_basic.fits,1.9442680650605098,1.0624557042291585,1.9442680650605098,1.0624557042291585,0.06266988658825606,0.06651173662296185,jw01182004002,002,004,11,F444W,nrcalong,a,533,1.9494744949589176,0.9986728563362348
/orange/adamginsburg/jwst/brick/F444W/f444w_nrca_visit002_exp00012_daophot_basic.fits,1.949664821049805,1.062638471451315,1.949664821049805,1.062638471451315,0.06334582014160803,0.06579636947858444,jw01182004002,002,004,12,F444W,nrcalong,a,530,1.9494744949589176,0.9986728563362348
/orange/adamginsburg/jwst/brick/F444W/f444w_nrcb_visit002_exp00001_daophot_basic.fits,1.961230925088057,1.0711917012354846,1.961230925088057,1.0711917012354846,0.057064671557641104,0.05900524584158473,jw01182004002,002,004,1,F444W,nrcblong,b,624,1.9542239003164468,1.0004002641519563
/orange/adamginsburg/jwst/brick/F444W/f444w_nrcb_visit002_exp00002_daophot_basic.fits,1.9586964091565278,1.0725176214155354,1.9586964091565278,1.0725176214155354,0.05717577073739431,0.05766401124305092,jw01182004002,002,004,2,F444W,nrcblong,b,623,1.9542239003164468,1.0004002641519563
/orange/adamginsburg/jwst/brick/F444W/f444w_nrcb_visit002_exp00003_daophot_basic.fits,1.961019716168903,1.0727636280162258,1.961019716168903,1.0727636280162258,0.056946814422798184,0.06391074196859764,jw01182004002,002,004,3,F444W,nrcblong,b,616,1.9542239003164468,1.0004002641519563
/orange/adamginsburg/jwst/brick/F444W/f444w_nrcb_visit002_exp00004_daophot_basic.fits,1.958534072810562,1.075530298038906,1.958534072810562,1.075530298038906,0.05592258549082197,0.06333105842829494,jw01182004002,002,004,4,F444W,nrcblong,b,608,1.9542239003164468,1.0004002641519563
/orange/adamginsburg/jwst/brick/F444W/f444w_nrcb_visit002_exp00005_daophot_basic.fits,1.949865503843921,1.0743443279008105,1.949865503843921,1.0743443279008105,0.05613666198641443,0.06161615844430677,jw01182004002,002,004,5,F444W,nrcblong,b,564,1.9542239003164468,1.0004002641519563
/orange/adamginsburg/jwst/brick/F444W/f444w_nrcb_visit002_exp00006_daophot_basic.fits,1.9531407975825459,1.076844853172453,1.9531407975825459,1.076844853172453,0.055137232196554885,0.06380606192841207,jw01182004002,002,004,6,F444W,nrcblong,b,578,1.9542239003164468,1.0004002641519563
/orange/adamginsburg/jwst/brick/F444W/f444w_nrcb_visit002_exp00007_daophot_basic.fits,1.9499276748098964,1.0776114584541077,1.9499276748098964,1.0776114584541077,0.058625146478687995,0.06394206372668132,jw01182004002,002,004,7,F444W,nrcblong,b,555,1.9542239003164468,1.0004002641519563
/orange/adamginsburg/jwst/brick/F444W/f444w_nrcb_visit002_exp00008_daophot_basic.fits,1.9501522235606898,1.0769634618537296,1.9501522235606898,1.0769634618537296,0.05513516759872394,0.062229974017208554,jw01182004002,002,004,8,F444W,nrcblong,b,548,1.9542239003164468,1.0004002641519563
