Filename,dra,ddec,dra (arcsec),ddec (arcsec),dra_std,ddec_std,Visit,obsid,Exposure,Filter,Module
/blue/adamginsburg/adamginsburg/jwst/brick/F466N/f466n_nrca_visit001_exp00001_daophot_basic.fits,-0.11635933338567384,0.10089065332694602,-0.11635933338567384,0.10089065332694602,0.042609609501685304,0.045626248174107896,001,001,1,F466N,nrcalong
/blue/adamginsburg/adamginsburg/jwst/brick/F466N/f466n_nrca_visit001_exp00002_daophot_basic.fits,-0.11962710909330099,0.09957783068275106,-0.11962710909330099,0.09957783068275106,0.043320124082674376,0.04472459332313584,001,001,2,F466N,nrcalong
/blue/adamginsburg/adamginsburg/jwst/brick/F466N/f466n_nrca_visit001_exp00003_daophot_basic.fits,-0.11738738219975176,0.0997666992451407,-0.11738738219975176,0.0997666992451407,0.04219804170855002,0.0461069315842359,001,001,3,F466N,nrcalong
/blue/adamginsburg/adamginsburg/jwst/brick/F466N/f466n_nrca_visit001_exp00004_daophot_basic.fits,-0.11743737157559053,0.09910290124937049,-0.11743737157559053,0.09910290124937049,0.04333902372371495,0.0427992580011323,001,001,4,F466N,nrcalong
/blue/adamginsburg/adamginsburg/jwst/brick/F466N/f466n_nrca_visit001_exp00005_daophot_basic.fits,-0.11497649135918664,0.1018259624051332,-0.11497649135918664,0.1018259624051332,0.044862801138878056,0.04953737275698495,001,001,5,F466N,nrcalong
/blue/adamginsburg/adamginsburg/jwst/brick/F466N/f466n_nrca_visit001_exp00006_daophot_basic.fits,-0.11672771639297252,0.09979816636205285,-0.11672771639297252,0.09979816636205285,0.044858097769609244,0.04442561018485919,001,001,6,F466N,nrcalong
/blue/adamginsburg/adamginsburg/jwst/brick/F466N/f466n_nrca_visit001_exp00007_daophot_basic.fits,-0.11504225860363704,0.10132248606611327,-0.11504225860363704,0.10132248606611327,0.04301798953149807,0.04747906995839574,001,001,7,F466N,nrcalong
/blue/adamginsburg/adamginsburg/jwst/brick/F466N/f466n_nrca_visit001_exp00008_daophot_basic.fits,-0.11630810739262643,0.10052948252807781,-0.11630810739262643,0.10052948252807781,0.042337862159510214,0.04682199649105978,001,001,8,F466N,nrcalong
/blue/adamginsburg/adamginsburg/jwst/brick/F466N/f466n_nrca_visit001_exp00009_daophot_basic.fits,-0.12778706986438237,0.09610216289717144,-0.12778706986438237,0.09610216289717144,0.044011306685825057,0.045949674326545085,001,001,9,F466N,nrcalong
/blue/adamginsburg/adamginsburg/jwst/brick/F466N/f466n_nrca_visit001_exp00010_daophot_basic.fits,-0.13109434938343156,0.0907840275762517,-0.13109434938343156,0.0907840275762517,0.04688300162142269,0.04802195648898368,001,001,10,F466N,nrcalong
/blue/adamginsburg/adamginsburg/jwst/brick/F466N/f466n_nrca_visit001_exp00011_daophot_basic.fits,-0.13014693873429906,0.08892733571359557,-0.13014693873429906,0.08892733571359557,0.04682579618161047,0.050547171026173704,001,001,11,F466N,nrcalong
/blue/adamginsburg/adamginsburg/jwst/brick/F466N/f466n_nrca_visit001_exp00012_daophot_basic.fits,-0.13037350028781702,0.08984068512249976,-0.13037350028781702,0.08984068512249976,0.04520828769359063,0.048896266710650185,001,001,12,F466N,nrcalong
/blue/adamginsburg/adamginsburg/jwst/brick/F466N/f466n_nrca_visit001_exp00013_daophot_basic.fits,-0.14598298862011916,0.08682758691636039,-0.14598298862011916,0.08682758691636039,0.04415291291530589,0.0505396892767094,001,001,13,F466N,nrcalong
/blue/adamginsburg/adamginsburg/jwst/brick/F466N/f466n_nrca_visit001_exp00014_daophot_basic.fits,-0.14534469513165504,0.08724659456733619,-0.14534469513165504,0.08724659456733619,0.04866138703112445,0.05016253970227499,001,001,14,F466N,nrcalong
/blue/adamginsburg/adamginsburg/jwst/brick/F466N/f466n_nrca_visit001_exp00015_daophot_basic.fits,-0.14648414437061774,0.08601624880286707,-0.14648414437061774,0.08601624880286707,0.046100433182922,0.052207316104621204,001,001,15,F466N,nrcalong
/blue/adamginsburg/adamginsburg/jwst/brick/F466N/f466n_nrca_visit001_exp00016_daophot_basic.fits,-0.14658212576961205,0.08822450677614668,-0.14658212576961205,0.08822450677614668,0.04737000763486229,0.05340078367430538,001,001,16,F466N,nrcalong
/blue/adamginsburg/adamginsburg/jwst/brick/F466N/f466n_nrca_visit001_exp00017_daophot_basic.fits,-0.14411269441580998,0.08441859842607258,-0.14411269441580998,0.08441859842607258,0.04824479017499934,0.05013178180239393,001,001,17,F466N,nrcalong
/blue/adamginsburg/adamginsburg/jwst/brick/F466N/f466n_nrca_visit001_exp00018_daophot_basic.fits,-0.14499361719373383,0.08328041722878154,-0.14499361719373383,0.08328041722878154,0.048494397018818615,0.04899883300313727,001,001,18,F466N,nrcalong
/blue/adamginsburg/adamginsburg/jwst/brick/F466N/f466n_nrca_visit001_exp00019_daophot_basic.fits,-0.1444035673287658,0.08430486501938006,-0.1444035673287658,0.08430486501938006,0.04737624375185219,0.049977131895874584,001,001,19,F466N,nrcalong
/blue/adamginsburg/adamginsburg/jwst/brick/F466N/f466n_nrca_visit001_exp00020_daophot_basic.fits,-0.1450745883019522,0.08596355523495802,-0.1450745883019522,0.08596355523495802,0.050181098811719796,0.0499046472374985,001,001,20,F466N,nrcalong
/blue/adamginsburg/adamginsburg/jwst/brick/F466N/f466n_nrca_visit001_exp00021_daophot_basic.fits,-0.12956785522675318,0.09711314339329036,-0.12956785522675318,0.09711314339329036,0.045167734957047345,0.04353771888961828,001,001,21,F466N,nrcalong
/blue/adamginsburg/adamginsburg/jwst/brick/F466N/f466n_nrca_visit001_exp00022_daophot_basic.fits,-0.1303246821478865,0.09401155409110018,-0.1303246821478865,0.09401155409110018,0.04517342572288351,0.045015636226358964,001,001,22,F466N,nrcalong
/blue/adamginsburg/adamginsburg/jwst/brick/F466N/f466n_nrca_visit001_exp00023_daophot_basic.fits,-0.13496688278138436,0.09667233781245343,-0.13496688278138436,0.09667233781245343,0.04557137627216186,0.04567889385442052,001,001,23,F466N,nrcalong
/blue/adamginsburg/adamginsburg/jwst/brick/F466N/f466n_nrca_visit001_exp00024_daophot_basic.fits,-0.1305109445709718,0.09326071929196544,-0.1305109445709718,0.09326071929196544,0.04580466429807781,0.045461156755576146,001,001,24,F466N,nrcalong
/blue/adamginsburg/adamginsburg/jwst/brick/F466N/f466n_nrcb_visit001_exp00001_daophot_basic.fits,-0.11013318115402626,0.10340147835856683,-0.11013318115402626,0.10340147835856683,0.04289419163396186,0.05042488522658784,001,001,1,F466N,nrcblong
/blue/adamginsburg/adamginsburg/jwst/brick/F466N/f466n_nrcb_visit001_exp00002_daophot_basic.fits,-0.11287551753440539,0.10522754972948078,-0.11287551753440539,0.10522754972948078,0.0420998352671989,0.05118855897316657,001,001,2,F466N,nrcblong
/blue/adamginsburg/adamginsburg/jwst/brick/F466N/f466n_nrcb_visit001_exp00003_daophot_basic.fits,-0.112105819501096,0.10413269406095438,-0.112105819501096,0.10413269406095438,0.0425255439626564,0.051170423809772506,001,001,3,F466N,nrcblong
/blue/adamginsburg/adamginsburg/jwst/brick/F466N/f466n_nrcb_visit001_exp00004_daophot_basic.fits,-0.11227303621836882,0.10375233111981075,-0.11227303621836882,0.10375233111981075,0.040827459424505906,0.05018127455283568,001,001,4,F466N,nrcblong
/blue/adamginsburg/adamginsburg/jwst/brick/F466N/f466n_nrcb_visit001_exp00005_daophot_basic.fits,-0.10926261901005319,0.10406791476222921,-0.10926261901005319,0.10406791476222921,0.04258074866912605,0.04865916675412201,001,001,5,F466N,nrcblong
/blue/adamginsburg/adamginsburg/jwst/brick/F466N/f466n_nrcb_visit001_exp00006_daophot_basic.fits,-0.11321987091861274,0.10555906541478421,-0.11321987091861274,0.10555906541478421,0.042800960099728,0.052567456440144544,001,001,6,F466N,nrcblong
/blue/adamginsburg/adamginsburg/jwst/brick/F466N/f466n_nrcb_visit001_exp00007_daophot_basic.fits,-0.10947212934553363,0.10581265139899543,-0.10947212934553363,0.10581265139899543,0.04253086989691406,0.05092472889341209,001,001,7,F466N,nrcblong
/blue/adamginsburg/adamginsburg/jwst/brick/F466N/f466n_nrcb_visit001_exp00008_daophot_basic.fits,-0.11358012321380784,0.107251375156725,-0.11358012321380784,0.107251375156725,0.04132024145756426,0.050942474612369594,001,001,8,F466N,nrcblong
/blue/adamginsburg/adamginsburg/jwst/brick/F466N/f466n_nrcb_visit001_exp00009_daophot_basic.fits,-0.1226595116420981,0.10448163950949052,-0.1226595116420981,0.10448163950949052,0.037078047367945385,0.04495207604240741,001,001,9,F466N,nrcblong
/blue/adamginsburg/adamginsburg/jwst/brick/F466N/f466n_nrcb_visit001_exp00010_daophot_basic.fits,-0.12171557776383679,0.10325303630631666,-0.12171557776383679,0.10325303630631666,0.037711027426100684,0.04642872240377323,001,001,10,F466N,nrcblong
/blue/adamginsburg/adamginsburg/jwst/brick/F466N/f466n_nrcb_visit001_exp00011_daophot_basic.fits,-0.12200270112572298,0.10324201763234342,-0.12200270112572298,0.10324201763234342,0.03948678832389405,0.04603696190296503,001,001,11,F466N,nrcblong
/blue/adamginsburg/adamginsburg/jwst/brick/F466N/f466n_nrcb_visit001_exp00012_daophot_basic.fits,-0.12477297537571985,0.10481388694225657,-0.12477297537571985,0.10481388694225657,0.036550979813243664,0.048991179532530814,001,001,12,F466N,nrcblong
/blue/adamginsburg/adamginsburg/jwst/brick/F466N/f466n_nrcb_visit001_exp00013_daophot_basic.fits,-0.12878077664737475,0.10338970765255695,-0.12878077664737475,0.10338970765255695,0.0351156720079565,0.04396222809696968,001,001,13,F466N,nrcblong
/blue/adamginsburg/adamginsburg/jwst/brick/F466N/f466n_nrcb_visit001_exp00014_daophot_basic.fits,-0.12848869474311186,0.10374658355738475,-0.12848869474311186,0.10374658355738475,0.039404875063632626,0.04235308035790673,001,001,14,F466N,nrcblong
/blue/adamginsburg/adamginsburg/jwst/brick/F466N/f466n_nrcb_visit001_exp00015_daophot_basic.fits,-0.12502403731815548,0.1052491251045673,-0.12502403731815548,0.1052491251045673,0.041188672419860246,0.045823619839507855,001,001,15,F466N,nrcblong
/blue/adamginsburg/adamginsburg/jwst/brick/F466N/f466n_nrcb_visit001_exp00016_daophot_basic.fits,-0.12843431059792465,0.104633050297398,-0.12843431059792465,0.104633050297398,0.04130041403692529,0.04444581954092717,001,001,16,F466N,nrcblong
/blue/adamginsburg/adamginsburg/jwst/brick/F466N/f466n_nrcb_visit001_exp00017_daophot_basic.fits,-0.12767667945610128,0.10019332676458603,-0.12767667945610128,0.10019332676458603,0.03753526962353524,0.042347958266656806,001,001,17,F466N,nrcblong
/blue/adamginsburg/adamginsburg/jwst/brick/F466N/f466n_nrcb_visit001_exp00018_daophot_basic.fits,-0.12892306702525502,0.09791530395100168,-0.12892306702525502,0.09791530395100168,0.03634017102535705,0.04141481125432768,001,001,18,F466N,nrcblong
/blue/adamginsburg/adamginsburg/jwst/brick/F466N/f466n_nrcb_visit001_exp00019_daophot_basic.fits,-0.1279228812862243,0.10031674056216744,-0.1279228812862243,0.10031674056216744,0.036040827549529135,0.041066374655163884,001,001,19,F466N,nrcblong
/blue/adamginsburg/adamginsburg/jwst/brick/F466N/f466n_nrcb_visit001_exp00020_daophot_basic.fits,-0.12729501023187595,0.09979694977895193,-0.12729501023187595,0.09979694977895193,0.03764777609748961,0.03924734082595912,001,001,20,F466N,nrcblong
/blue/adamginsburg/adamginsburg/jwst/brick/F466N/f466n_nrcb_visit001_exp00021_daophot_basic.fits,-0.12237269523467376,0.10191110637274292,-0.12237269523467376,0.10191110637274292,0.03610826662889122,0.04512328969131469,001,001,21,F466N,nrcblong
/blue/adamginsburg/adamginsburg/jwst/brick/F466N/f466n_nrcb_visit001_exp00022_daophot_basic.fits,-0.12499513509993676,0.10352573095397943,-0.12499513509993676,0.10352573095397943,0.03521784669432304,0.04536598115635586,001,001,22,F466N,nrcblong
/blue/adamginsburg/adamginsburg/jwst/brick/F466N/f466n_nrcb_visit001_exp00023_daophot_basic.fits,-0.12472114099892906,0.10416744452905746,-0.12472114099892906,0.10416744452905746,0.035251907855922915,0.04549258984986632,001,001,23,F466N,nrcblong
/blue/adamginsburg/adamginsburg/jwst/brick/F466N/f466n_nrcb_visit001_exp00024_daophot_basic.fits,-0.12374566079671467,0.1032913281847847,-0.12374566079671467,0.1032913281847847,0.03447499028691529,0.045587464150159025,001,001,24,F466N,nrcblong
/blue/adamginsburg/adamginsburg/jwst/brick/F405N/f405n_nrca_visit001_exp00001_daophot_basic.fits,-0.10489644454594327,0.10518250400126661,-0.10489644454594327,0.10518250400126661,0.042916414048763576,0.04570676648452147,001,001,1,F405N,nrcalong
/blue/adamginsburg/adamginsburg/jwst/brick/F405N/f405n_nrca_visit001_exp00002_daophot_basic.fits,-0.10810994323549039,0.10162635635611039,-0.10810994323549039,0.10162635635611039,0.04269021664972597,0.04465503852401268,001,001,2,F405N,nrcalong
/blue/adamginsburg/adamginsburg/jwst/brick/F405N/f405n_nrca_visit001_exp00003_daophot_basic.fits,-0.10654574361126379,0.10398489961760404,-0.10654574361126379,0.10398489961760404,0.041356131479667435,0.046086880353455505,001,001,3,F405N,nrcalong
/blue/adamginsburg/adamginsburg/jwst/brick/F405N/f405n_nrca_visit001_exp00004_daophot_basic.fits,-0.10492844229759157,0.10226604367362668,-0.10492844229759157,0.10226604367362668,0.04402378362241563,0.04491137072700257,001,001,4,F405N,nrcalong
/blue/adamginsburg/adamginsburg/jwst/brick/F405N/f405n_nrca_visit001_exp00005_daophot_basic.fits,-0.10381015112272962,0.10563265664602639,-0.10381015112272962,0.10563265664602639,0.04482797163135506,0.04910214355014828,001,001,5,F405N,nrcalong
/blue/adamginsburg/adamginsburg/jwst/brick/F405N/f405n_nrca_visit001_exp00006_daophot_basic.fits,-0.10402058375404977,0.1059879266482433,-0.10402058375404977,0.1059879266482433,0.04472151574881034,0.0463024546969499,001,001,6,F405N,nrcalong
/blue/adamginsburg/adamginsburg/jwst/brick/F405N/f405n_nrca_visit001_exp00007_daophot_basic.fits,-0.10423504751599921,0.10489118732808222,-0.10423504751599921,0.10489118732808222,0.04416495812188714,0.04906435260192777,001,001,7,F405N,nrcalong
/blue/adamginsburg/adamginsburg/jwst/brick/F405N/f405n_nrca_visit001_exp00008_daophot_basic.fits,-0.10531999259058011,0.10425773671771665,-0.10531999259058011,0.10425773671771665,0.04395596363158011,0.048899837385951946,001,001,8,F405N,nrcalong
/blue/adamginsburg/adamginsburg/jwst/brick/F405N/f405n_nrca_visit001_exp00009_daophot_basic.fits,-0.11682365405079054,0.09877074672575148,-0.11682365405079054,0.09877074672575148,0.04493661437961109,0.04474384241745918,001,001,9,F405N,nrcalong
/blue/adamginsburg/adamginsburg/jwst/brick/F405N/f405n_nrca_visit001_exp00010_daophot_basic.fits,-0.11925736347677685,0.09580201885102113,-0.11925736347677685,0.09580201885102113,0.04454291908630306,0.045994663900513766,001,001,10,F405N,nrcalong
/blue/adamginsburg/adamginsburg/jwst/brick/F405N/f405n_nrca_visit001_exp00011_daophot_basic.fits,-0.11769671777130952,0.09621533171015884,-0.11769671777130952,0.09621533171015884,0.046146062160260064,0.04719365686720894,001,001,11,F405N,nrcalong
/blue/adamginsburg/adamginsburg/jwst/brick/F405N/f405n_nrca_visit001_exp00012_daophot_basic.fits,-0.11791701857930548,0.09437065448638648,-0.11791701857930548,0.09437065448638648,0.046060356016856305,0.049621787085621705,001,001,12,F405N,nrcalong
