Filename,dra,ddec,dra (arcsec),ddec (arcsec),dra_std,ddec_std,Visit,obsid,Exposure,Filter,Module
/blue/adamginsburg/adamginsburg/jwst/brick/F466N/f466n_nrca_visit001_exp00001_crowdsource_nsky0.fits,-0.12256239131858138,0.09418804875638287,-0.12256239131858138,0.09418804875638287,0.03163749759124102,0.027700500760805997,001,001,1,F466N,nrcalong
/blue/adamginsburg/adamginsburg/jwst/brick/F466N/f466n_nrca_visit001_exp00002_crowdsource_nsky0.fits,-0.12510601407740296,0.09426171168174236,-0.12510601407740296,0.09426171168174236,0.032146994371691225,0.02736604198955823,001,001,2,F466N,nrcalong
/blue/adamginsburg/adamginsburg/jwst/brick/F466N/f466n_nrca_visit001_exp00003_crowdsource_nsky0.fits,-0.12353675574132694,0.09332369078238756,-0.12353675574132694,0.09332369078238756,0.031296203186495994,0.027566641561131634,001,001,3,F466N,nrcalong
/blue/adamginsburg/adamginsburg/jwst/brick/F466N/f466n_nrca_visit001_exp00004_crowdsource_nsky0.fits,-0.12378874652796412,0.0934021844355648,-0.12378874652796412,0.0934021844355648,0.03162793157072525,0.027852255935437244,001,001,4,F466N,nrcalong
/blue/adamginsburg/adamginsburg/jwst/brick/F466N/f466n_nrca_visit001_exp00005_crowdsource_nsky0.fits,-0.11979056561841617,0.0951344842047952,-0.11979056561841617,0.0951344842047952,0.03217428422885465,0.02726593498237043,001,001,5,F466N,nrcalong
/blue/adamginsburg/adamginsburg/jwst/brick/F466N/f466n_nrca_visit001_exp00006_crowdsource_nsky0.fits,-0.1223950502847515,0.09526178301628718,-0.1223950502847515,0.09526178301628718,0.031681478379348135,0.02729093141607538,001,001,6,F466N,nrcalong
/blue/adamginsburg/adamginsburg/jwst/brick/F466N/f466n_nrca_visit001_exp00007_crowdsource_nsky0.fits,-0.11879240291392534,0.09492441607550361,-0.11879240291392534,0.09492441607550361,0.03136188819203594,0.02690916022763986,001,001,7,F466N,nrcalong
/blue/adamginsburg/adamginsburg/jwst/brick/F466N/f466n_nrca_visit001_exp00008_crowdsource_nsky0.fits,-0.12035528222469338,0.09409786760743444,-0.12035528222469338,0.09409786760743444,0.03167704139022562,0.02718599871485198,001,001,8,F466N,nrcalong
/blue/adamginsburg/adamginsburg/jwst/brick/F466N/f466n_nrca_visit001_exp00009_crowdsource_nsky0.fits,-0.12664978782623848,0.09649329360899017,-0.12664978782623848,0.09649329360899017,0.031110327944376168,0.026897406345900415,001,001,9,F466N,nrcalong
/blue/adamginsburg/adamginsburg/jwst/brick/F466N/f466n_nrca_visit001_exp00010_crowdsource_nsky0.fits,-0.1274481510066039,0.09495834065704756,-0.1274481510066039,0.09495834065704756,0.031038540011919472,0.026852641624990882,001,001,10,F466N,nrcalong
