dra,ddec,dra (arcsec),ddec (arcsec),dra_std,ddec_std,Filter,Module,dra_rms,ddec_rms,dra_med,ddec_med
-0.13645465891727326,0.059203238642169254,-0.13645465891727326,0.059203238642169254,0.04610698869820235,0.05381387818954664,F182M,nrca1,0.026627378805924612,0.0210175935676311,-0.1362381565513715,0.05872498336252363
-0.14186259849822136,0.09189150746804486,-0.14186259849822136,0.09189150746804486,0.05395592484515332,0.036184296149565545,F182M,nrca2,0.019831373793762395,0.012698841378399448,-0.13686936118233461,0.08886566556540743
-0.08335102093752766,0.09999528293445081,-0.08335102093752766,0.09999528293445081,0.0521780813923822,0.03459564997552216,F182M,nrca3,0.02276007155989597,0.02604519922110199,-0.08203295691373569,0.10193327658747364
-0.11896053563020814,0.08851167897070411,-0.11896053563020814,0.08851167897070411,0.05273948098917803,0.044119069110003996,F182M,nrca4,0.01997047390708372,0.013728385295827041,-0.11844458833252247,0.08505554251314607
-0.05816413453487712,0.09701660605756501,-0.05816413453487712,0.09701660605756501,0.058584031350347614,0.060494787562868524,F182M,nrcb1,0.20154540121590153,0.05204789310259249,-0.11341165784415352,0.10637092254057734
-0.09285339392306469,0.10163994803242815,-0.09285339392306469,0.10163994803242815,0.05257131992565577,0.06285847375024502,F182M,nrcb2,0.02248691412518368,0.020219867262460643,-0.09214574002385234,0.10326511111813375
-0.0811741360635665,0.08920239272409702,-0.0811741360635665,0.08920239272409702,0.056002251225485404,0.06443014449171303,F182M,nrcb3,0.23744426962776172,0.07334760924234994,-0.13407759459482804,0.07824646203289376
-0.10490164966228122,0.09713675283622436,-0.10490164966228122,0.09713675283622436,0.048351390315186406,0.038087809912461905,F182M,nrcb4,0.017344507049456163,0.01336015688735627,-0.10523404939135617,0.09436101524151752
-0.14045964135324207,0.06295488512316054,-0.14045964135324207,0.06295488512316054,0.05792281665386063,0.05418752042003704,F187N,nrca1,0.02151636681527669,0.02595120525861896,-0.14502647101153343,0.05471416939037965
-0.15070227730689112,0.09177082994620278,-0.15070227730689112,0.09177082994620278,0.06533695128389916,0.044726470580946746,F187N,nrca2,0.01892625396576782,0.009057272441810319,-0.15045020824686617,0.08986129042156676
-0.0853311859657424,0.0848166430420072,-0.0853311859657424,0.0848166430420072,0.05941890459624664,0.04675322702161671,F187N,nrca3,0.02196639110410279,0.039800760433572654,-0.08142501119436929,0.09418945560781822
-0.12269306404988356,0.08735595120095141,-0.12269306404988356,0.08735595120095141,0.052147392906575885,0.04092742065549996,F187N,nrca4,0.015459305251350138,0.014205391767591412,-0.12051235815988548,0.08400131434918023
-0.0026400556919270457,0.07447036193068968,-0.0026400556919270457,0.07447036193068968,0.06790764102811121,0.07579260302534628,F187N,nrcb1,0.2433103156543953,0.10094688084611898,-0.11373799289913222,0.10184373209725095
-0.09205586702307755,0.09606134538167055,-0.09205586702307755,0.09606134538167055,0.05633680084118677,0.0635589662625542,F187N,nrcb2,0.02146991341447846,0.009161906203100317,-0.09088051552907928,0.09434297092987265
-0.13336372461196788,0.07650489874970745,-0.13336372461196788,0.07650489874970745,0.05666419298214468,0.07168511429088727,F187N,nrcb3,0.011348799989403503,0.018902751309626133,-0.13390398171395645,0.08171527447657922
-0.10301133711578814,0.0902462172674312,-0.10301133711578814,0.0902462172674312,0.06354227166915212,0.04027469507142415,F187N,nrcb4,0.021366313058573876,0.014303601250991642,-0.09945457935600643,0.09022281661934528
-0.11229792555695894,0.05944698662663228,-0.11229792555695894,0.05944698662663228,0.05237875381017775,0.06185965046286133,F212N,nrca1,0.2012438622348706,0.03597079320258432,-0.16222074722236357,0.05022926234303782
-0.14945940427679716,0.08903307646122016,-0.14945940427679716,0.08903307646122016,0.06763045044555813,0.03771799758413172,F212N,nrca2,0.02167665399906559,0.007510505777953405,-0.1453365049940203,0.08919938404545746
-0.09655943235600262,0.0952536168133733,-0.09655943235600262,0.0952536168133733,0.05093326572480338,0.039439882921936065,F212N,nrca3,0.017841734206206016,0.025472106825292697,-0.09100452313646201,0.0983259013537463
-0.129524021809857,0.08769134142374568,-0.129524021809857,0.08769134142374568,0.04305778701231571,0.037940652598985776,F212N,nrca4,0.018848181275100198,0.010326453032451612,-0.12787333467940698,0.08552693993344462
0.06505693351499531,0.07431362660970109,0.06505693351499531,0.07431362660970109,0.06829300499538332,0.08161765100382389,F212N,nrcb1,0.3703824636148585,0.07957766985887009,-0.11644678550055687,0.10430296400336658
-0.09113998976317816,0.10060733574421832,-0.09113998976317816,0.10060733574421832,0.0646118116655436,0.06300652589344048,F212N,nrcb2,0.03126838150966176,0.028392138432785662,-0.08750685915401846,0.09766495061001024
-0.13590938911676176,0.08021811606253593,-0.13590938911676176,0.08021811606253593,0.05361021630066479,0.06777757841354203,F212N,nrcb3,0.010356049109075378,0.016876830591699303,-0.1369795195671486,0.08503002591631059
-0.09669450930402945,0.0877128880602207,-0.09669450930402945,0.0877128880602207,0.06893936200915425,0.046219001151121604,F212N,nrcb4,0.01867157823873111,0.023281781630549617,-0.09387606043560481,0.09114174207347503
-0.12440637787989317,0.08715735406834568,-0.12440637787989317,0.08715735406834568,0.06950120678011686,0.05325456140016205,F405N,nrcalong,0.018986462085597285,0.012184330842191976,-0.12559650144225998,0.08310626847496394
-0.13469818613884854,0.065534824865221,-0.13469818613884854,0.065534824865221,0.07763647659856045,0.07831037160016127,F405N,nrcblong,0.011945209840615078,0.021886846588920945,-0.13271116501414326,0.06048414858241813
