dra,ddec,dra (arcsec),ddec (arcsec),dra_std,ddec_std,Visit,Filter,Module,nmatch,RAOFF_hdr,DECOFF_hdr,dra_rms,ddec_rms,dra_med,ddec_med,nmatch_sum
-17.491207702149154,13.541636297138048,-17.491207702149154,13.541636297138048,0.01333762017264317,0.01128290926404023,jw01182004001,F115W,nrca1,2651.1666666666665,-17.498741851734962,13.499791650964909,0.003390062651995505,0.004277921528566115,-17.491483268880188,13.540650158524613,31814
1.9482989741864003,1.0593235311450613,1.9482989741864003,1.0593235311450613,0.015288048613144459,0.012842163656906228,jw01182004002,F115W,nrca1,876.5833333333334,2.0008967091559953,0.9998398003544509,0.0032078452960112337,0.004266159600421402,1.9484367994853073,1.058657069703827,10519
-17.504032662766917,13.551004409553457,-17.504032662766917,13.551004409553457,0.01908171731902852,0.017216940203963697,jw01182004001,F115W,nrca2,387.0,-17.499427344826586,13.499625398098502,0.002738753183788022,0.003378389744591833,-17.50471492437839,13.550221954467133,4644
1.9376981660958563,1.0614067232369564,1.9376981660958563,1.0614067232369564,0.013203634498653668,0.011376348816903135,jw01182004002,F115W,nrca2,2505.1666666666665,2.0019688831343956,1.0022024293194534,0.0029961826039128113,0.004399585599693858,1.9381989862001774,1.0603999369197084,30062
-17.484804245636383,13.543760168134456,-17.484804245636383,13.543760168134456,0.019143667806893843,0.016928942177225476,jw01182004001,F115W,nrca3,3305.5833333333335,-17.500428530648833,13.498951841985752,0.010982564142184355,0.00486415398247823,-17.487368095560214,13.541449377543579,39667
1.9492101326353577,1.054755496706349,1.9492101326353577,1.054755496706349,0.02162382033473942,0.02051360168608257,jw01182004002,F115W,nrca3,1109.8333333333333,2.003556379681413,0.9992879981462579,0.007144376404843631,0.005586987784842412,1.9461620591659994,1.054785731790119,13318
-17.49707458017042,13.544384178891121,-17.49707458017042,13.544384178891121,0.022700927141596033,0.022041450882707234,jw01182004001,F115W,nrca4,273.0833333333333,-17.505374240495826,13.494411668959415,0.011094327073217745,0.0028590494979330947,-17.499569895996387,13.544116746721912,3277
1.9376763006381452,1.061225934184428,1.9376763006381452,1.061225934184428,0.018917164384195374,0.019066210699367928,jw01182004002,F115W,nrca4,3194.1666666666665,1.9977444817147898,1.0002780204013675,0.0075647347708885015,0.006910403519957792,1.934000343120033,1.0606553508390562,38330
-17.486659800424604,13.548513072008125,-17.486659800424604,13.548513072008125,0.019787053529135394,0.019560760962276203,jw01182004001,F115W,nrcb1,265.5,-17.539942700027495,13.500843781615776,0.002859503365025925,0.0033831065958667738,-17.48691616597739,13.547671206337618,1593
1.9449734632690934,1.0658079570197145,1.9449734632690934,1.0658079570197145,0.02028227324645492,0.017602391766842706,jw01182004002,F115W,nrcb1,2819.9166666666665,1.9984400332522227,1.0028758367596637,0.00370286242384305,0.00389411493795305,1.944929128079707,1.0647720436587562,33839
-17.473743284746774,13.544886658887933,-17.473743284746774,13.544886658887933,0.01830463482996639,0.017300368766777166,jw01182004001,F115W,nrcb2,2437.0,-17.500758834181624,13.499392014557742,0.0031377387173404914,0.0036031755065279443,-17.473566801696734,13.544138224731682,29244
1.9578906387370125,1.0647768869615817,1.9578906387370125,1.0647768869615817,0.02002646236958706,0.017931364637637445,jw01182004002,F115W,nrcb2,1090.4166666666667,1.9878769403835577,0.993201199648496,0.0035520246410074186,0.004437961755435871,1.9582960518353048,1.0642232917503094,13085
-17.487139524597524,13.558217809212376,-17.487139524597524,13.558217809212376,0.02014143870655461,0.014210943520386318,jw01182004001,F115W,nrcb3,401.125,-17.499212318587638,13.499012721277754,0.006956139720604172,0.005147858109464359,-17.48542782601305,13.557561675506612,3209
1.9476184490333708,1.0727284456839783,1.9476184490333708,1.0727284456839783,0.01739256498553507,0.01552458749811454,jw01182004002,F115W,nrcb3,5004.666666666667,1.999099418869264,1.001360531624428,0.0039846584131061165,0.0041394453328407466,1.947195891326146,1.072091540402397,60056
-17.47244553832445,13.55249529361766,-17.47244553832445,13.55249529361766,0.017758287367463422,0.016099726882388813,jw01182004001,F115W,nrcb4,4370.166666666667,-17.50131905225942,13.499617390823659,0.004410529061524093,0.004298623201965583,-17.472424890316347,13.551466604485384,52442
1.9596612109399985,1.0739633289537522,1.9596612109399985,1.0739633289537522,0.019713880159504548,0.018272311213523063,jw01182004002,F115W,nrcb4,1519.6666666666667,1.9997913189190513,0.9994768635559694,0.004210081779410477,0.003992386394976171,1.9585813546332247,1.0731459012612845,18236
-17.490978541219988,13.541997025332028,-17.490978541219988,13.541997025332028,0.03726032491055322,0.032333499108672066,jw01182004001,F200W,nrca1,9585.583333333334,-17.499281151863784,13.499313481935204,0.003338726065305242,0.004129350091752244,-17.491298061118528,13.541277095383307,115027
1.946687888497604,1.059115425074019,1.946687888497604,1.059115425074019,0.03192411945566194,0.027862955428947997,jw01182004002,F200W,nrca1,2054.5,1.9486722421368767,0.998577052901183,0.0031480996392544204,0.004573087753690294,1.94678038786044,1.0586412518053692,24654
-17.50204026529218,13.548985077320296,-17.50204026529218,13.548985077320296,0.026510757456599292,0.02262138310594876,jw01182004001,F200W,nrca2,932.0833333333334,-17.502449809340987,13.497722476965833,0.003530024661024234,0.0034268974211460724,-17.50278689675497,13.548006367259035,11185
1.9379976044894647,1.060590622480916,1.9379976044894647,1.060590622480916,0.04021682908032057,0.03468038884039929,jw01182004002,F200W,nrca2,9348.75,1.948644183924057,0.998253165266604,0.0029599267399875277,0.0048320425210678,1.9388484170895708,1.059099474764679,112185
